University,intCol,intColD1,intColD2,acaCol,acaColD1,acaColD2,sOutput,sOutputD1,sOutputD2,citations,citationsD1,citationsD2,fwCitImp,fwCitImpD1,fwCitImpD2,outTCP,outTCPD1,outTCPD2,pubTJP,pubTJPD1,pubTJPD2,citPP,citPPD1,citPPD2,authors,authorsD1,authorsD2,h5Index,class
Massachusetts Institute of Technology ,50.8,0.7999999999999972,1.8999999999999986,8.6,0.29999999999999893,-0.20000000000000107,9371.0,2.047261243602305,2.921471718835811,48200.0,-58.227167940651384,-74.19976447917782,2.18,-7.234042553191489,-15.175097276264582,29.3,1.0344827586207028,-6.9841269841269815,51.8,-4.604051565377532,-6.666666666666677,5.1,-59.523809523809526,-75.1219512195122,9259.0,0.0,4.174167416741681,239.0,1
Stanford University,42.2,0.6000000000000014,1.2000000000000028,7.1,0.39999999999999947,-0.20000000000000018,14490.0,2.2510761414155755,6.811145510835903,78545.0,-56.728332488596045,-71.57729802493975,2.55,2.8225806451612767,-8.273381294964032,28.7,5.514705882352944,0.7017543859649145,48.7,-4.6966731898238745,-4.6966731898238745,5.4,-57.8125,-73.52941176470587,14370.0,6.0673162090345345,12.230552952202434,287.0,1
Harvard University,46.2,1.7000000000000028,2.5,5.7,0.10000000000000053,0.10000000000000053,31080.0,0.24836306163920074,3.724469363235894,149154.0,-57.99271686752078,-72.65482199069024,2.2,-5.579399141630892,-8.713692946058094,26.5,0.37878787878788955,-6.360424028268552,45.6,-5.97938144329897,-8.799999999999997,4.8,-58.26086956521739,-73.62637362637363,30897.0,2.9316720525035755,5.500921942224957,339.0,1
University of Oxford,60.8,1.6999999999999957,2.8999999999999986,6.4,0.40000000000000036,0.3000000000000007,14804.0,2.2728842832469676,6.5495897509716405,63838.0,-55.876111944373406,-73.50361721820771,2.08,-6.726457399103136,-16.799999999999994,25.2,5.439330543933063,-4.1825095057034245,46.1,-4.356846473029052,-3.556485355648531,4.3,-57.00000000000001,-75.14450867052022,12821.0,2.71591091171286,6.4160026560424965,254.0,1
California Institute of Technology ,53.2,0.8000000000000043,0.20000000000000284,6.0,0.5,0.5,4849.0,6.6652001759788915,7.089222614840995,26547.0,-56.308426596445024,-72.75162687578265,2.03,-10.964912280701755,-14.345991561181448,30.8,-8.333333333333337,-3.1446540880503138,45.3,-5.031446540880513,-13.878326996197732,5.5,-58.95522388059702,-74.4186046511628,4614.0,8.259033317691223,12.673992673992673,166.0,1
Swiss Federal Institute of Technology Zurich,66.9,1.7000000000000028,1.7000000000000028,6.7,-0.5999999999999996,-1.2000000000000002,8246.0,3.945543930417239,7.132649084058729,38177.0,-50.34144564835651,-68.74503671805283,1.98,0.0,-2.941176470588236,28.9,8.646616541353369,5.474452554744524,51.8,-1.7077798861480198,-2.9962546816479474,4.6,-52.57731958762887,-71.06918238993711,7614.0,3.3668205267445073,8.076650106458484,161.0,1
University of Cambridge,62.0,2.700000000000003,2.700000000000003,6.5,-0.20000000000000018,-0.5999999999999996,12194.0,3.365262354835985,4.266780675502346,58970.0,-53.74539179543494,-71.8445025878039,1.99,-8.715596330275233,-13.478260869565206,26.5,3.515625,-4.332129963898912,47.2,-5.220883534136533,-5.599999999999994,4.8,-55.55555555555556,-73.18435754189944,11085.0,4.378531073446323,9.730746386854094,224.0,1
University College London,59.5,2.1000000000000014,3.700000000000003,6.6,0.6999999999999993,1.3999999999999995,16031.0,3.6665804449042882,6.518272425249161,73584.0,-52.13737478860414,-68.98592261653882,2.18,-0.909090909090915,-1.8018018018018056,24.8,6.896551724137945,0.0,42.4,-4.932735426008971,-3.1963470319634646,4.6,-53.53535353535355,-70.88607594936708,14141.0,2.918486171761292,9.315089672232535,230.0,1
Imperial College London,62.2,0.9000000000000057,1.7000000000000028,8.0,-0.1999999999999993,0.7999999999999998,12229.0,-0.5772357723577204,4.825990056574669,57871.0,-55.30334041320718,-71.04915605270794,2.13,-4.054054054054069,-11.250000000000004,27.4,7.874015748031504,4.980842911877392,46.1,-5.918367346938769,-5.532786885245889,4.7,-55.23809523809524,-72.51461988304094,11208.0,3.585951940850274,4.435333581811407,223.0,1
University of Chicago,42.9,2.1999999999999957,1.1999999999999957,5.0,0.5999999999999996,-0.2999999999999998,8865.0,0.5558076225045339,0.738636363636358,44944.0,-53.42397612336263,-72.1031854408223,2.09,-0.4761904761904856,-8.733624454148481,27.8,10.317460317460325,1.831501831501825,47.9,-5.893909626719052,-6.07843137254902,5.1,-53.21100917431193,-72.1311475409836,8470.0,-0.05899705014749124,1.790650162240115,208.0,1
